link,handle,isin,cusip,figi,ticker,name,issuer_name,issuer_type,issuer_jurisdiction,fund,framework_link,issuance_date,maturity_date,volume_usd,volume_bond_currency,bond_currency
https://www.greenbondtransparency.com/bond-info/?handle=8b6c8d33bb7747b3b7811d6ebf1edd18,8b6c8d33bb7747b3b7811d6ebf1edd18,BRNITADBS003,NA,BBG00SJ4XZ50,NA,Neoenergia Itabapoana - 1ª Emissão de Debêntures,Grupo Neoenergia,Non-Financial Corporate,Brazil,FALSE,NA,2020-02-27T00:00:00Z,2045-02-15T00:00:00Z,67039106,300000000,BRL
https://www.greenbondtransparency.com/bond-info/?handle=c8db70a600e4496aa0bdff98338e72ee,c8db70a600e4496aa0bdff98338e72ee,NA,NA,NA,CIFI_GB,CIFI Green Bond Program,Corporación Interamericana para el Financiamiento de Infraestructura (CIFI),Financial Corporate,Panama,TRUE,https://www.greenbondtransparency.com/download-document/?entity=Framework&handle=4d55cd98379640de90be2eb2fa9aba1f,NA,NA,NA,NA,USD
https://www.greenbondtransparency.com/bond-info/?handle=28ae5ae6b38d4f6ea026a78ebefacd1b,28ae5ae6b38d4f6ea026a78ebefacd1b,BRVERTCRA286,NA,NA,NA,CRA TEREOS,VERT Companhia Securitizadora,Non-Financial Corporate,Brazil,FALSE,https://www.greenbondtransparency.com/download-document/?entity=Framework&handle=0ca1bbf86b2045aba7e8ff9a179c2758,2021-03-29T00:00:00Z,2026-03-16T00:00:00Z,60339509,347809000,BRL
https://www.greenbondtransparency.com/bond-info/?handle=26a5760d5ece44d0b9a7553dae41917f,26a5760d5ece44d0b9a7553dae41917f,BRTSMMDBS009,NA,BBG00R9CGHN4,ALUBR 4.5 12/15,TSM - Transmissora Serra da Mantiqueira S.A.,TSM Transmissora Serra da Mantiqueira SA,Non-Financial Corporate,Brazil,FALSE,NA,2019-12-15T00:00:00Z,2044-12-15T00:00:00Z,129429290,530000000,BRL
https://www.greenbondtransparency.com/bond-info/?handle=1403dbb9be5b4892b8984de9f4461536,1403dbb9be5b4892b8984de9f4461536,NA,NA,NA,BNCMXT CEBUR21,Bancomext Senior Notes 2021,Bancomext,Financial Corporate,Mexico,TRUE,https://www.greenbondtransparency.com/download-document/?entity=Framework&handle=41f78746078d444787f9a1f78b30153c,NA,2031-10-17T00:00:00Z,NA,NA,MXN
https://www.greenbondtransparency.com/bond-info/?handle=9bd98e9cc0fd42a69775ddbd0c63147a,9bd98e9cc0fd42a69775ddbd0c63147a,BRERENDBS073,NA,NA,NA,Terceira Emissão De Debêntures Simples Da Eren Dracena Participações S.A.,Total Eren,Non-Financial Corporate,Brazil,FALSE,NA,2020-02-15T00:00:00Z,2037-09-15T00:00:00Z,65152642,280000000,BRL
https://www.greenbondtransparency.com/bond-info/?handle=e409442424864da7afa12f94bb6ac8de,e409442424864da7afa12f94bb6ac8de,US46137NAC20,46137NAC2,BBG011CKB3Z1,ILAPCL 144A,Inversiones Latin America Power 144A Note,Inversiones Latin America Power (ILAP),Non-Financial Corporate,Chile,FALSE,https://www.greenbondtransparency.com/download-document/?entity=Framework&handle=a40381fb70654535ada4454c2ff5e808,2021-06-09T00:00:00Z,2033-06-15T00:00:00Z,153670000,153670000,USD
https://www.greenbondtransparency.com/bond-info/?handle=1ebb3382d810474480d9b51700c98bf5,1ebb3382d810474480d9b51700c98bf5,MXCDBA0300B0,NA,BBG01386BXD1,BACMEXT 21-2X,Bancomext Senior Notes 21 2x,Bancomext,Financial Corporate,Mexico,FALSE,https://www.greenbondtransparency.com/download-document/?entity=Framework&handle=41f78746078d444787f9a1f78b30153c,2021-10-26T00:00:00Z,2026-10-23T00:00:00Z,49199281,1000000000,MXN
https://www.greenbondtransparency.com/bond-info/?handle=ef2fe8d0cf9f4c9b9cd7bec81089a3e3,ef2fe8d0cf9f4c9b9cd7bec81089a3e3,USP09110AB65,NA,BBG00YFD1S16,BACOPY,Banco Continental Sustainable Bond,Banco Continental SAECA,Financial Corporate,Paraguay,FALSE,https://www.greenbondtransparency.com/download-document/?entity=Framework&handle=ee40d1f5b8cf43d5a5e7373fcead8db7,2020-12-10T00:00:00Z,2025-12-10T00:00:00Z,300000000,300000000,USD
https://www.greenbondtransparency.com/bond-info/?handle=1acde4773c8e492f89fd03b885d35f46,1acde4773c8e492f89fd03b885d35f46,US46556M2A90,46556M2A9,NA,NA,IUH Tier 2 Subordinated Sustainable Notes,Itau-Unibanco,Financial Corporate,Brazil,TRUE,NA,NA,2031-04-15T00:00:00Z,NA,NA,USD
