bond_handle,bond_name,nomenclature,category,subcategory,project,location,date_allocation,date_disbursement,allocation_currency,allocated_allocation_currency,disbursed_allocation_currency,bond_currency,disbursed_bond_currency,disbursed_usd,refinancing,cofinancing_percentage
b1ee5ee2b303417fb77c0c62bf84343a,Green Bond ON C1,EU Taxonomy Green Bonds Standard,Other,Unspecified,Green Bond ON C1 Plaza Pilar W2,Argentina,2019-12-11T00:00:00Z,2017-12-13T00:00:00Z,USD,7492105,7492105,USD,7492105,7492105,FALSE,0.39
b1ee5ee2b303417fb77c0c62bf84343a,Green Bond ON C1,ISO,Other,Unspecified,Green Bond ON C1 Plaza Pilar W2,Argentina,2019-12-11T00:00:00Z,2017-12-13T00:00:00Z,USD,7492105,7492105,USD,7492105,7492105,FALSE,0.39
b1ee5ee2b303417fb77c0c62bf84343a,Green Bond ON C1,Climate Bonds Initiative Project Classification,Buildings,Commercial,Green Bond ON C1 Plaza Esteban Echeverría W1 y W2,Argentina,2019-12-11T00:00:00Z,2017-12-13T00:00:00Z,USD,13029618,13029618,USD,13029618,13029618,FALSE,0.25
b1ee5ee2b303417fb77c0c62bf84343a,Green Bond ON C1,ICMA Green Bonds Principles Project Categories,Green buildings,Commercial,Green Bond ON C1 Plaza Esteban Echeverría W1 y W2,Argentina,2019-12-11T00:00:00Z,2017-12-13T00:00:00Z,USD,13029618,13029618,USD,13029618,13029618,FALSE,0.25
b1ee5ee2b303417fb77c0c62bf84343a,Green Bond ON C1,EU Taxonomy Green Bonds Standard,Other,Unspecified,Green Bond ON C1 Plaza Esteban Echeverría W1 y W2,Argentina,2019-12-11T00:00:00Z,2017-12-13T00:00:00Z,USD,13029618,13029618,USD,13029618,13029618,FALSE,0.25
b1ee5ee2b303417fb77c0c62bf84343a,Green Bond ON C1,ISO,Other,Unspecified,Green Bond ON C1 Plaza Esteban Echeverría W1 y W2,Argentina,2019-12-11T00:00:00Z,2017-12-13T00:00:00Z,USD,13029618,13029618,USD,13029618,13029618,FALSE,0.25
b1ee5ee2b303417fb77c0c62bf84343a,Green Bond ON C1,Climate Bonds Initiative Project Classification,Buildings,Commercial,Green Bond ON C1 Plaza Tortugas W2,Argentina,2019-12-11T00:00:00Z,2017-12-13T00:00:00Z,USD,1214296,1214296,USD,1214296,1214296,FALSE,0.05
b1ee5ee2b303417fb77c0c62bf84343a,Green Bond ON C1,ICMA Green Bonds Principles Project Categories,Green buildings,Commercial,Green Bond ON C1 Plaza Tortugas W2,Argentina,2019-12-11T00:00:00Z,2017-12-13T00:00:00Z,USD,1214296,1214296,USD,1214296,1214296,FALSE,0.05
b1ee5ee2b303417fb77c0c62bf84343a,Green Bond ON C1,EU Taxonomy Green Bonds Standard,Other,Unspecified,Green Bond ON C1 Plaza Tortugas W2,Argentina,2019-12-11T00:00:00Z,2017-12-13T00:00:00Z,USD,1214296,1214296,USD,1214296,1214296,FALSE,0.05
b1ee5ee2b303417fb77c0c62bf84343a,Green Bond ON C1,ISO,Other,Unspecified,Green Bond ON C1 Plaza Tortugas W2,Argentina,2019-12-11T00:00:00Z,2017-12-13T00:00:00Z,USD,1214296,1214296,USD,1214296,1214296,FALSE,0.05
