bond_handle,bond_name,nomenclature,category,subcategory,project,location,indicator,unit,planned_value,measured_value,can_be_aggregated,methodology_code,measurement_period_start,measurement_period_end
731de09d90c6433a8eddaf8aa22dc123,Green FIDC Solar GD Órigo,Climate Bonds Initiative Project Classification,Energy,Solar,Usina fotovoltaica Vazante 66,Brazil,MWh renewable energy generation,megawatt-hour,6900,NA,TRUE,NA,2027-01-01T00:00:00Z,2027-12-01T00:00:00Z
731de09d90c6433a8eddaf8aa22dc123,Green FIDC Solar GD Órigo,ICMA Green Bonds Principles Project Categories,Renewable energy,Generation,Usina fotovoltaica Vazante 66,Brazil,MWh renewable energy generation,megawatt-hour,6900,NA,TRUE,NA,2028-01-01T00:00:00Z,2028-12-01T00:00:00Z
731de09d90c6433a8eddaf8aa22dc123,Green FIDC Solar GD Órigo,Climate Bonds Initiative Project Classification,Energy,Solar,Usina fotovoltaica Vazante 66,Brazil,MWh renewable energy generation,megawatt-hour,6900,NA,TRUE,NA,2028-01-01T00:00:00Z,2028-12-01T00:00:00Z
731de09d90c6433a8eddaf8aa22dc123,Green FIDC Solar GD Órigo,ICMA Green Bonds Principles Project Categories,Renewable energy,Generation,Usina fotovoltaica Vazante 66,Brazil,MWh renewable energy generation,megawatt-hour,6900,NA,TRUE,NA,2029-01-01T00:00:00Z,2029-12-01T00:00:00Z
731de09d90c6433a8eddaf8aa22dc123,Green FIDC Solar GD Órigo,Climate Bonds Initiative Project Classification,Energy,Solar,Usina fotovoltaica Vazante 66,Brazil,MWh renewable energy generation,megawatt-hour,6900,NA,TRUE,NA,2029-01-01T00:00:00Z,2029-12-01T00:00:00Z
731de09d90c6433a8eddaf8aa22dc123,Green FIDC Solar GD Órigo,ICMA Green Bonds Principles Project Categories,Renewable energy,Generation,Usina fotovoltaica Vazante 66,Brazil,MWh renewable energy generation,megawatt-hour,6900,NA,TRUE,NA,2030-01-01T00:00:00Z,2030-12-01T00:00:00Z
731de09d90c6433a8eddaf8aa22dc123,Green FIDC Solar GD Órigo,Climate Bonds Initiative Project Classification,Energy,Solar,Usina fotovoltaica Vazante 66,Brazil,MWh renewable energy generation,megawatt-hour,6900,NA,TRUE,NA,2030-01-01T00:00:00Z,2030-12-01T00:00:00Z
731de09d90c6433a8eddaf8aa22dc123,Green FIDC Solar GD Órigo,ICMA Green Bonds Principles Project Categories,Renewable energy,Generation,Usina fotovoltaica Vazante 66,Brazil,MWh renewable energy generation,megawatt-hour,6900,NA,TRUE,NA,2031-01-01T00:00:00Z,2031-12-01T00:00:00Z
731de09d90c6433a8eddaf8aa22dc123,Green FIDC Solar GD Órigo,Climate Bonds Initiative Project Classification,Energy,Solar,Usina fotovoltaica Vazante 66,Brazil,MWh renewable energy generation,megawatt-hour,6900,NA,TRUE,NA,2031-01-01T00:00:00Z,2031-12-01T00:00:00Z
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,ICMA Green Bonds Principles Project Categories,Green buildings,Commercial,Commercial Building #1,Colombia,% energy saving,percent,1600,NA,FALSE,NA,2021-12-29T00:00:00Z,2022-12-28T00:00:00Z
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,Climate Bonds Initiative Project Classification,Buildings,Commercial,Commercial Building #1,Colombia,% energy saving,percent,1600,NA,FALSE,NA,2021-12-29T00:00:00Z,2022-12-28T00:00:00Z
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,ICMA Green Bonds Principles Project Categories,Green buildings,Commercial,Commercial Building #1,Colombia,tCO2e avoided,metric ton,1016.31,NA,TRUE,NA,2021-12-29T00:00:00Z,2022-12-28T00:00:00Z
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,Climate Bonds Initiative Project Classification,Buildings,Commercial,Commercial Building #1,Colombia,tCO2e avoided,metric ton,1016.31,NA,TRUE,NA,2021-12-29T00:00:00Z,2022-12-28T00:00:00Z
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,ICMA Green Bonds Principles Project Categories,Green buildings,Commercial,Commercial Building #1,Colombia,% energy saving,percent,1600,NA,FALSE,NA,2022-12-29T00:00:00Z,2023-12-28T00:00:00Z
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,Climate Bonds Initiative Project Classification,Buildings,Commercial,Commercial Building #1,Colombia,% energy saving,percent,1600,NA,FALSE,NA,2022-12-29T00:00:00Z,2023-12-28T00:00:00Z
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,ICMA Green Bonds Principles Project Categories,Green buildings,Commercial,Commercial Building #1,Colombia,tCO2e avoided,metric ton,1016.31,NA,TRUE,NA,2022-12-29T00:00:00Z,2023-12-28T00:00:00Z
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,Climate Bonds Initiative Project Classification,Buildings,Commercial,Commercial Building #1,Colombia,tCO2e avoided,metric ton,1016.31,NA,TRUE,NA,2022-12-29T00:00:00Z,2023-12-28T00:00:00Z
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,ICMA Green Bonds Principles Project Categories,Green buildings,Commercial,Commercial Building #1,Colombia,% energy saving,percent,1600,NA,FALSE,NA,2023-12-29T00:00:00Z,2024-12-28T00:00:00Z
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,Climate Bonds Initiative Project Classification,Buildings,Commercial,Commercial Building #1,Colombia,% energy saving,percent,1600,NA,FALSE,NA,2023-12-29T00:00:00Z,2024-12-28T00:00:00Z
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,ICMA Green Bonds Principles Project Categories,Green buildings,Commercial,Commercial Building #1,Colombia,tCO2e avoided,metric ton,1016.31,NA,TRUE,NA,2023-12-29T00:00:00Z,2024-12-28T00:00:00Z
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,Climate Bonds Initiative Project Classification,Buildings,Commercial,Commercial Building #1,Colombia,tCO2e avoided,metric ton,1016.31,NA,TRUE,NA,2023-12-29T00:00:00Z,2024-12-28T00:00:00Z
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,ICMA Green Bonds Principles Project Categories,Green buildings,Commercial,Commercial Building #1,Colombia,% energy saving,percent,1600,NA,FALSE,NA,2024-12-29T00:00:00Z,2025-12-28T00:00:00Z
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,Climate Bonds Initiative Project Classification,Buildings,Commercial,Commercial Building #1,Colombia,% energy saving,percent,1600,NA,FALSE,NA,2024-12-29T00:00:00Z,2025-12-28T00:00:00Z
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,ICMA Green Bonds Principles Project Categories,Green buildings,Commercial,Commercial Building #1,Colombia,tCO2e avoided,metric ton,1016.31,NA,TRUE,NA,2024-12-29T00:00:00Z,2025-12-28T00:00:00Z
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,Climate Bonds Initiative Project Classification,Buildings,Commercial,Commercial Building #1,Colombia,tCO2e avoided,metric ton,1016.31,NA,TRUE,NA,2024-12-29T00:00:00Z,2025-12-28T00:00:00Z
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,ICMA Green Bonds Principles Project Categories,Green buildings,Commercial,Commercial Building #1,Colombia,% energy saving,percent,1600,NA,FALSE,NA,2025-12-29T00:00:00Z,2026-12-28T00:00:00Z
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,Climate Bonds Initiative Project Classification,Buildings,Commercial,Commercial Building #1,Colombia,% energy saving,percent,1600,NA,FALSE,NA,2025-12-29T00:00:00Z,2026-12-28T00:00:00Z
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,ICMA Green Bonds Principles Project Categories,Green buildings,Commercial,Commercial Building #1,Colombia,tCO2e avoided,metric ton,1016.31,NA,TRUE,NA,2025-12-29T00:00:00Z,2026-12-28T00:00:00Z
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,Climate Bonds Initiative Project Classification,Buildings,Commercial,Commercial Building #1,Colombia,tCO2e avoided,metric ton,1016.31,NA,TRUE,NA,2025-12-29T00:00:00Z,2026-12-28T00:00:00Z
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,ICMA Green Bonds Principles Project Categories,Green buildings,Commercial,Commercial Building #1,Colombia,% energy saving,percent,1600,NA,FALSE,NA,2026-12-29T00:00:00Z,2027-04-25T00:00:00Z
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,Climate Bonds Initiative Project Classification,Buildings,Commercial,Commercial Building #1,Colombia,% energy saving,percent,1600,NA,FALSE,NA,2026-12-29T00:00:00Z,2027-04-25T00:00:00Z
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,ICMA Green Bonds Principles Project Categories,Green buildings,Commercial,Commercial Building #1,Colombia,tCO2e avoided,metric ton,325.7760821917808,NA,TRUE,NA,2026-12-29T00:00:00Z,2027-04-25T00:00:00Z
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,Climate Bonds Initiative Project Classification,Buildings,Commercial,Commercial Building #1,Colombia,tCO2e avoided,metric ton,325.7760821917808,NA,TRUE,NA,2026-12-29T00:00:00Z,2027-04-25T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Itaúnas S.A. - 9°,Brazil,# renewable energy generators serviced,unit,NA,688,TRUE,NA,2020-01-01T00:00:00Z,2020-12-31T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Itaúnas S.A. - 9°,Brazil,# renewable energy generators serviced,unit,NA,688,TRUE,NA,2020-01-01T00:00:00Z,2020-12-31T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Itaúnas S.A. - 9°,Brazil,# renewable energy generators serviced,unit,NA,795,TRUE,NA,2021-01-01T00:00:00Z,2021-09-30T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Itaúnas S.A. - 9°,Brazil,# renewable energy generators serviced,unit,NA,795,TRUE,NA,2021-01-01T00:00:00Z,2021-09-30T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Itaúnas S.A. - 9°,Brazil,% revenue green users,percent,NA,1.63,FALSE,NA,2020-01-01T00:00:00Z,2020-12-31T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Itaúnas S.A. - 9°,Brazil,% revenue green users,percent,NA,1.63,FALSE,NA,2020-01-01T00:00:00Z,2020-12-31T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Itaúnas S.A. - 9°,Brazil,% revenue green users,percent,NA,2.16,FALSE,NA,2021-01-01T00:00:00Z,2021-09-30T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Itaúnas S.A. - 9°,Brazil,% revenue green users,percent,NA,2.16,FALSE,NA,2021-01-01T00:00:00Z,2021-09-30T00:00:00Z
