bond_handle,bond_name,market,stock_exchange,tranche_currency,volume_offered_tranche_currency,volume_raised_tranche_currency,bond_currency,volume_raised_bond_currency,volume_raised_usd
8c79d4f9366a4162a9629192e2530d2d,Eólica Serra das Vacas Holding II S.A.,Brazil,NA,BRL,48000000,48000000,BRL,48000000,14620773
03be22eb7b4543fd9e05fab58d3a22db,WREL#1 Note D,Barbados,NA,BBD,4000000,4000000,BBD,4000000,2000000
846e9c246ab34723bcc280ee825e8fa8,WREL#1 Note E,Barbados,NA,BBD,3000000,3000000,BBD,3000000,1500000
14a9f009a6c0487aa7122710957cc603,WREL#1 Note F,Barbados,NA,BBD,4500000,4500000,BBD,4500000,2250000
ca95780fd934421fa99ce5cb0b1f71d2,ISA CTM,United States,NA,USD,400000000,400000000,USD,400000000,400000000
ca95780fd934421fa99ce5cb0b1f71d2,ISA CTM,United States,NA,USD,200000000,200000000,USD,200000000,200000000
6699aa37a3de4631b0742dedc052011e,AGUA 17-2x,Mexico,NA,MXN,600000000,600000000,MXN,600000000,32307568
ef2fe8d0cf9f4c9b9cd7bec81089a3e3,Banco Continental Sustainable Bond,United States,NA,USD,300000000,300000000,USD,300000000,300000000
2a7f1db976e749ceace3907f38ec71be,BDMG Sustainable Bond,United States,XNYS,USD,5000000,5000000,USD,5000000,5000000
2a7f1db976e749ceace3907f38ec71be,BDMG Sustainable Bond,United States,XNYS,USD,5000000,5000000,USD,5000000,5000000
2a7f1db976e749ceace3907f38ec71be,BDMG Sustainable Bond,United States,XNYS,USD,5000000,5000000,USD,5000000,5000000
2a7f1db976e749ceace3907f38ec71be,BDMG Sustainable Bond,United States,XNYS,USD,5000000,5000000,USD,5000000,5000000
2a7f1db976e749ceace3907f38ec71be,BDMG Sustainable Bond,United States,XNYS,USD,5000000,5000000,USD,5000000,5000000
2a7f1db976e749ceace3907f38ec71be,BDMG Sustainable Bond,United States,XNYS,USD,5000000,5000000,USD,5000000,5000000
2a7f1db976e749ceace3907f38ec71be,BDMG Sustainable Bond,United States,XNYS,USD,5000000,5000000,USD,5000000,5000000
2a7f1db976e749ceace3907f38ec71be,BDMG Sustainable Bond,United States,XNYS,USD,5000000,5000000,USD,5000000,5000000
2a7f1db976e749ceace3907f38ec71be,BDMG Sustainable Bond,United States,XNYS,USD,5000000,5000000,USD,5000000,5000000
2a7f1db976e749ceace3907f38ec71be,BDMG Sustainable Bond,United States,XNYS,USD,5000000,5000000,USD,5000000,5000000
21273ccef0ca496f88b04b4970e3394e,Segunda Emissão Janaúba,Brazil,BVMF,BRL,575000000,575000000,BRL,575000000,133008850
9454206ae5ef4e8d85b80872d8b63a12,Sexta Emissão de Debêntures da Taesa,Brazil,BVMF,BRL,210000000,210000000,BRL,210000000,51284404
a51f0a51fdd241f0b87f87edf3924a15,Sétima Emissão de Debêntures da Taesa,Brazil,BVMF,BRL,508960000,508960000,BRL,508960000,118751087
314f7f4c213f427091038506ef0c444b,Oitava Emissão de Debêntures da Taesa,Brazil,BVMF,BRL,300000000,300000000,BRL,300000000,67094434
5b4a75cdb66b4ce9b8961d7a9fd6bfb5,Decima Emissão de Debêntures da Taesa,Brazil,BVMF,BRL,100000000,100000000,BRL,100000000,18730651
9e3d5a4bf8ef4c9bb3306040e0cd6790,Green Bond CMPC 2017,United States,XNYS,USD,500000000,500000000,USD,500000000,500000000
e13fb411d38e445aa8115a546717c6ce,Green Bond CMPC 2019,Chile,XSGO,CLF,2500000,2500000,CLF,2500000,97791631
9d39abd34d6c4799835d76e97b6b75e1,FIDC GREEN ANGÁ-SOLFÁCIL,Brazil,NA,BRL,500000000,500000000,BRL,500000000,95438060
039a805a3e354fb9abc557d41eaf0c0a,Bono Verde COFIDE,Peru,XLIM,PEN,100000000,100000000,PEN,100000000,30012004
7d5a909c5f244b7da7c3fab618115955,CRI MAGIK,Brazil,BVMF,BRL,5000000,5000000,BRL,5000000,932191
266ba26a960a4367b8afe616f921de4a,Título Sustentável Rio Grande do Sul 1,Brazil,NA,BRL,115000000,115000000,BRL,115000000,21369506
e966bfa760da47229e612d1814fcd544,Título Sustentável Rio Grande do Sul 2,Brazil,NA,BRL,335000000,335000000,BRL,335000000,62350602
8924efd445c0450a816e678627f70b60,Sustainable Bond ON C6,Argentina,NA,UVA,1800000000,1800000000,UVA,1800000000,20454545
28100961034e4404b6bfbb0919a87500,CRI H2energy,Brazil,NA,BRL,25247827,25247827,BRL,25247827,4855349
47b8b2c3d39b42a2b47e9b1faa6b599c,ANEMUS 2039,Brazil,BVMF,BRL,475000000,475000000,BRL,475000000,93503937
28ae5ae6b38d4f6ea026a78ebefacd1b,CRA TEREOS,Brazil,BVMF,BRL,347809000,347809000,BRL,347809000,60339509
52a3ebde93e1453cb962eb8e994d15f0,Global Secured Green Bond - Series XXXI,United States,XLUX,USD,366118638,366118638,USD,366118638,366118638
f3475e2874264a62a2a2804c493ed2e5,Local Green Bond - Series XXXII,Argentina,XMEV,USD,48971674,48971674,USD,48971674,48971674
